"iteration","a","b","cp","N","model","Sobel_z"
20,-0.3,-0.3,-0.2,100,2,1.04180850813199
21,-0.3,-0.3,-0.2,100,1,1.85694860643992
21,-0.3,-0.3,-0.2,100,2,1.77147641394815
22,-0.3,-0.3,-0.2,100,1,2.80868874408756
22,-0.3,-0.3,-0.2,100,2,0.868084312662649
23,-0.3,-0.3,-0.2,100,1,2.29896698450099
23,-0.3,-0.3,-0.2,100,2,1.36638807891189
24,-0.3,-0.3,-0.2,100,1,2.17043516273868
24,-0.3,-0.3,-0.2,100,2,1.9327009065137
25,-0.3,-0.3,-0.2,100,1,1.34508324787565
25,-0.3,-0.3,-0.2,100,2,2.34755857775293
26,-0.3,-0.3,-0.2,100,1,1.12494063355319
26,-0.3,-0.3,-0.2,100,2,1.27033757506257
27,-0.3,-0.3,-0.2,100,1,1.39096458843821
27,-0.3,-0.3,-0.2,100,2,0.332473660513784
28,-0.3,-0.3,-0.2,100,1,1.03598698533897
28,-0.3,-0.3,-0.2,100,2,0.684223856523442
29,-0.3,-0.3,-0.2,100,1,2.73085592559654
29,-0.3,-0.3,-0.2,100,2,0.452808955846201
30,-0.3,-0.3,-0.2,100,1,1.49900387412716
30,-0.3,-0.3,-0.2,100,2,0.644986934909594
31,-0.3,-0.3,-0.2,100,1,1.38815921954112
31,-0.3,-0.3,-0.2,100,2,1.43659402912736
32,-0.3,-0.3,-0.2,100,1,1.4586407417529
32,-0.3,-0.3,-0.2,100,2,1.36192277652385
33,-0.3,-0.3,-0.2,100,1,2.28279596198244
33,-0.3,-0.3,-0.2,100,2,0.376299441233523
34,-0.3,-0.3,-0.2,100,1,1.36420646399816
34,-0.3,-0.3,-0.2,100,2,0.624505043793543
35,-0.3,-0.3,-0.2,100,1,1.84931351859271
35,-0.3,-0.3,-0.2,100,2,0.117800244031787
36,-0.3,-0.3,-0.2,100,1,1.9090150124778
36,-0.3,-0.3,-0.2,100,2,0.430860725086281
37,-0.3,-0.3,-0.2,100,1,2.83612253518543
37,-0.3,-0.3,-0.2,100,2,1.18327039429732
38,-0.3,-0.3,-0.2,100,1,2.96615744829749
38,-0.3,-0.3,-0.2,100,2,-0.251642133900382
39,-0.3,-0.3,-0.2,100,1,3.00707290215163
39,-0.3,-0.3,-0.2,100,2,1.63835277086294
40,-0.3,-0.3,-0.2,100,1,2.10222820333191
40,-0.3,-0.3,-0.2,100,2,1.32072257273173
41,-0.3,-0.3,-0.2,100,1,2.11525196609245
41,-0.3,-0.3,-0.2,100,2,2.21222493744813
42,-0.3,-0.3,-0.2,100,1,2.17324104422269
42,-0.3,-0.3,-0.2,100,2,1.41227001532158
43,-0.3,-0.3,-0.2,100,1,1.6192074704626
43,-0.3,-0.3,-0.2,100,2,1.35256433208832
44,-0.3,-0.3,-0.2,100,1,2.69594076829696
44,-0.3,-0.3,-0.2,100,2,0.177144286290508
45,-0.3,-0.3,-0.2,100,1,1.78891734912828
45,-0.3,-0.3,-0.2,100,2,1.70836937582589
46,-0.3,-0.3,-0.2,100,1,1.44590048070943
46,-0.3,-0.3,-0.2,100,2,0.71321119170356
47,-0.3,-0.3,-0.2,100,1,2.01794572157777
47,-0.3,-0.3,-0.2,100,2,2.24877062982813
48,-0.3,-0.3,-0.2,100,1,1.94575681154294
48,-0.3,-0.3,-0.2,100,2,0.626396427078009
49,-0.3,-0.3,-0.2,100,1,2.1726202457149
49,-0.3,-0.3,-0.2,100,2,-0.23293959331849
